GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.abstractfactory,ElfKingdomFactory,0,15,0,0,0,4,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.abstractfactory,OrcArmy,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,ElfCastle,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,OrcCastle,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,Kingdom.FactoryMaker,8,13,1,2,2,3,2,2,1,1
JaCoCo Coverage Report,com.iluwatar.abstractfactory,App,0,90,0,0,0,23,0,6,0,6
JaCoCo Coverage Report,com.iluwatar.abstractfactory,Kingdom.FactoryMaker.KingdomType,0,15,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractfactory,ElfArmy,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,ElfKing,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,OrcKing,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.abstractfactory,OrcKingdomFactory,0,15,0,0,0,4,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.abstractfactory,Kingdom,0,24,0,0,0,10,0,7,0,7
