GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.commander.paymentservice,PaymentDatabase,22,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander.paymentservice,PaymentService.PaymentRequest,15,0,0,0,5,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.paymentservice,PaymentService,55,0,4,0,11,0,5,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander.employeehandle,EmployeeDatabase,22,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander.employeehandle,EmployeeHandle,37,0,2,0,8,0,4,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander.messagingservice,MessagingService.MessageToSend,21,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.messagingservice,MessagingService.MessageRequest,12,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.messagingservice,MessagingService,88,0,10,0,23,0,10,0,5,0
JaCoCo Coverage Report,com.iluwatar.commander.messagingservice,MessagingDatabase,22,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander,User,0,9,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.commander,Service,64,0,6,0,16,0,6,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander,Retry,8,86,1,3,3,21,2,4,1,3
JaCoCo Coverage Report,com.iluwatar.commander,Order,10,76,3,3,2,21,2,4,0,3
JaCoCo Coverage Report,com.iluwatar.commander,AppPaymentFailCases,340,0,0,0,41,0,5,0,5,0
JaCoCo Coverage Report,com.iluwatar.commander,Order.PaymentStatus,0,21,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.commander,Order.MessageSent,0,27,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.commander,Database,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander,AppMessagingFailCases,655,0,0,0,51,0,6,0,6,0
JaCoCo Coverage Report,com.iluwatar.commander,Commander,1597,0,152,0,368,0,130,0,54,0
JaCoCo Coverage Report,com.iluwatar.commander,AppQueueFailCases,685,0,0,0,51,0,6,0,6,0
JaCoCo Coverage Report,com.iluwatar.commander,AppEmployeeDbFailCases,307,0,0,0,31,0,4,0,4,0
JaCoCo Coverage Report,com.iluwatar.commander,AppShippingFailCases,403,0,0,0,51,0,6,0,6,0
JaCoCo Coverage Report,com.iluwatar.commander.exceptions,ShippingNotPossibleException,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.exceptions,ItemUnavailableException,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.commander.exceptions,PaymentDetailsErrorException,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.exceptions,DatabaseUnavailableException,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.commander.exceptions,IsEmptyException,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.queue,QueueDatabase,33,0,0,0,9,0,5,0,5,0
JaCoCo Coverage Report,com.iluwatar.commander.queue,Queue,89,0,8,0,23,0,9,0,5,0
JaCoCo Coverage Report,com.iluwatar.commander.queue,QueueTask.TaskType,21,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.queue,Queue.Node,9,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.queue,QueueTask,37,0,6,0,13,0,5,0,2,0
JaCoCo Coverage Report,com.iluwatar.commander.shippingservice,ShippingService,55,0,2,0,12,0,4,0,3,0
JaCoCo Coverage Report,com.iluwatar.commander.shippingservice,ShippingService.ShippingRequest,12,0,0,0,5,0,1,0,1,0
JaCoCo Coverage Report,com.iluwatar.commander.shippingservice,ShippingDatabase,22,0,0,0,5,0,3,0,3,0
