GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.flux.dispatcher,Dispatcher,0,54,0,2,0,14,0,8,0,7
JaCoCo Coverage Report,com.iluwatar.flux.store,ContentStore,0,24,0,2,0,8,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.flux.store,MenuStore,0,24,0,2,0,8,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.flux.store,Store,0,24,0,0,0,6,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.flux.app,App,3,36,0,0,1,12,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.flux.action,Content,0,28,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flux.action,ContentAction,0,10,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.flux.action,MenuItem,0,35,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flux.action,MenuAction,0,10,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.flux.action,Action,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.flux.action,ActionType,0,15,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.flux.view,MenuView,0,55,0,4,0,14,0,7,0,5
JaCoCo Coverage Report,com.iluwatar.flux.view,ContentView,0,26,0,0,0,9,0,4,0,4
