GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,FilterManager,0,18,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,ContactFilter,0,28,3,5,0,8,3,3,0,2
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,App,3,37,0,0,1,9,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,DepositFilter,0,20,1,3,0,6,1,3,0,2
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,Target,155,0,0,0,24,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,AbstractFilter,11,26,1,3,4,11,2,6,1,5
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,NameFilter,0,24,2,4,0,6,2,3,0,2
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,OrderFilter,0,20,1,3,0,6,1,3,0,2
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,Target.DListener,34,0,2,0,7,0,4,0,3,0
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,Client,70,198,0,4,12,39,5,5,5,3
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,FilterChain,0,26,0,4,0,8,0,5,0,3
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,Order,0,56,0,0,0,24,0,12,0,12
JaCoCo Coverage Report,com.iluwatar.intercepting.filter,AddressFilter,0,19,1,3,0,5,1,3,0,2
