GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.layers.entity,Cake,0,56,0,0,0,15,0,9,0,9
JaCoCo Coverage Report,com.iluwatar.layers.entity,CakeTopping,0,61,0,0,0,19,0,11,0,11
JaCoCo Coverage Report,com.iluwatar.layers.entity,CakeLayer,0,61,0,0,0,19,0,11,0,11
JaCoCo Coverage Report,com.iluwatar.layers.dto,CakeToppingInfo,0,49,0,0,0,12,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.layers.dto,CakeInfo,1,76,1,1,0,15,1,5,0,5
JaCoCo Coverage Report,com.iluwatar.layers.dto,CakeLayerInfo,0,49,0,0,0,11,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.layers.view,CakeViewImpl,0,21,0,0,0,6,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.layers.app,App,9,130,0,0,5,20,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.layers.service,CakeBakingServiceImpl,14,426,3,27,1,82,3,23,0,11
JaCoCo Coverage Report,com.iluwatar.layers.exception,CakeBakingException,0,7,0,0,0,4,0,2,0,2
